"BehaviorSpace results (NetLogo 6.0.1)"
"depredacion.nlogo"
"experiment1"
"06/11/2017 13:44:54:638 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","numero-equipoA","numero-equipoB","[step]","asesinado","Asalvo"
"1","30","20","0","0","0"
"1","30","20","1","0","0"
"1","30","20","2","0","0"
"1","30","20","3","0","0"
"1","30","20","4","1","0"
"1","30","20","5","3","0"
"1","30","20","6","9","0"
"1","30","20","7","14","0"
"1","30","20","8","18","0"
"1","30","20","9","19","0"
"1","30","20","10","19","0"
"1","30","20","11","19","0"
"1","30","20","12","19","0"
"1","30","20","13","19","0"
"1","30","20","14","19","1"
