"BehaviorSpace results (NetLogo 6.0.1)"
"depredacion3.0.nlogo"
"experiment1"
"07/19/2017 05:43:18:403 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","1","1","2","2","3","3","4","4","5","5","6","6","7","7","8","8","9","9","10","10"
"numero-equipoA","3",,"3",,"3",,"3",,"3",,"3",,"3",,"3",,"3",,"3",
"numero-equipoB","2",,"2",,"2",,"2",,"2",,"2",,"2",,"2",,"2",,"2",
"[reporter]","asesinado","Asalvo","asesinado","Asalvo","asesinado","Asalvo","asesinado","Asalvo","asesinado","Asalvo","asesinado","Asalvo","asesinado","Asalvo","asesinado","Asalvo","asesinado","Asalvo","asesinado","Asalvo"
"[final]","2","0","2","0","1","1","2","0","2","0","2","0","1","1","1","1","2","0","2","0"
"[min]","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"[max]","2","0","2","0","1","1","2","0","2","0","2","0","1","1","1","1","2","0","2","0"
"[mean]","0.5","0","0.42857142857142855","0","0.35714285714285715","0.07142857142857142","0.42857142857142855","0","0.4444444444444444","0","0.2857142857142857","0","0.6","0.06666666666666667","0.4666666666666667","0.06666666666666667","0.5454545454545454","0","0.375","0"
"[steps]","9","9","6","6","13","13","6","6","8","8","6","6","14","14","14","14","10","10","7","7"

"[all run data]","asesinado","Asalvo","asesinado","Asalvo","asesinado","Asalvo","asesinado","Asalvo","asesinado","Asalvo","asesinado","Asalvo","asesinado","Asalvo","asesinado","Asalvo","asesinado","Asalvo","asesinado","Asalvo"
,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
,"0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
,"1","0","2","0","0","0","2","0","1","0","2","0","1","0","0","0","1","0","1","0"
,"1","0",,,"0","0",,,"1","0",,,"1","0","0","0","1","0","2","0"
,"1","0",,,"0","0",,,"2","0",,,"1","0","1","0","1","0",,
,"2","0",,,"1","0",,,,,,,"1","0","1","0","1","0",,
,,,,,"1","0",,,,,,,"1","0","1","0","2","0",,
,,,,,"1","0",,,,,,,"1","0","1","0",,,,
,,,,,"1","0",,,,,,,"1","0","1","0",,,,
,,,,,"1","1",,,,,,,"1","0","1","0",,,,
,,,,,,,,,,,,,"1","1","1","1",,,,
