"BehaviorSpace results (NetLogo 6.0.1)"
"depredacion3.0.nlogo"
"experiment1"
"07/19/2017 05:43:17:884 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","numero-equipoA","numero-equipoB","[step]","asesinado","Asalvo"
"4","3","2","0","0","0"
"3","3","2","0","0","0"
"2","3","2","0","0","0"
"2","3","2","1","0","0"
"4","3","2","1","0","0"
"3","3","2","1","0","0"
"4","3","2","2","0","0"
"2","3","2","2","0","0"
"4","3","2","3","0","0"
"3","3","2","2","0","0"
"2","3","2","3","0","0"
"4","3","2","4","0","0"
"4","3","2","5","1","0"
"2","3","2","4","0","0"
"4","3","2","6","2","0"
"2","3","2","5","1","0"
"2","3","2","6","2","0"
"5","3","2","0","0","0"
"6","3","2","0","0","0"
"5","3","2","1","0","0"
"5","3","2","2","0","0"
"6","3","2","1","0","0"
"5","3","2","3","0","0"
"6","3","2","2","0","0"
"6","3","2","3","0","0"
"6","3","2","4","0","0"
"6","3","2","5","0","0"
"6","3","2","6","2","0"
"7","3","2","0","0","0"
"3","3","2","3","0","0"
"7","3","2","1","0","0"
"3","3","2","4","0","0"
"7","3","2","2","0","0"
"7","3","2","3","0","0"
"3","3","2","5","0","0"
"7","3","2","4","0","0"
"7","3","2","5","0","0"
"1","3","2","0","0","0"
"7","3","2","6","1","0"
"5","3","2","4","0","0"
"7","3","2","7","1","0"
"7","3","2","8","1","0"
"7","3","2","9","1","0"
"5","3","2","5","0","0"
"7","3","2","10","1","0"
"5","3","2","6","1","0"
"7","3","2","11","1","0"
"5","3","2","7","1","0"
"5","3","2","8","2","0"
"7","3","2","12","1","0"
"8","3","2","0","0","0"
"8","3","2","1","0","0"
"8","3","2","2","0","0"
"8","3","2","3","0","0"
"1","3","2","1","0","0"
"8","3","2","4","0","0"
"3","3","2","6","0","0"
"8","3","2","5","0","0"
"3","3","2","7","0","0"
"3","3","2","8","0","0"
"8","3","2","6","0","0"
"3","3","2","9","1","0"
"8","3","2","7","0","0"
"3","3","2","10","1","0"
"8","3","2","8","1","0"
"8","3","2","9","1","0"
"3","3","2","11","1","0"
"3","3","2","12","1","0"
"8","3","2","10","1","0"
"7","3","2","13","1","0"
"3","3","2","13","1","1"
"8","3","2","11","1","0"
"7","3","2","14","1","1"
"9","3","2","0","0","0"
"8","3","2","12","1","0"
"8","3","2","13","1","0"
"10","3","2","0","0","0"
"1","3","2","2","0","0"
"9","3","2","1","0","0"
"8","3","2","14","1","1"
"9","3","2","2","0","0"
"10","3","2","1","0","0"
"9","3","2","3","0","0"
"10","3","2","2","0","0"
"9","3","2","4","0","0"
"10","3","2","3","0","0"
"10","3","2","4","0","0"
"9","3","2","5","0","0"
"9","3","2","6","1","0"
"10","3","2","5","0","0"
"9","3","2","7","1","0"
"10","3","2","6","1","0"
"10","3","2","7","2","0"
"9","3","2","8","1","0"
"9","3","2","9","1","0"
"9","3","2","10","2","0"
"1","3","2","3","0","0"
"1","3","2","4","0","0"
"1","3","2","5","0","0"
"1","3","2","6","1","0"
"1","3","2","7","1","0"
"1","3","2","8","1","0"
"1","3","2","9","2","0"
