"BehaviorSpace results (NetLogo 6.0.1)"
"depredacion3.0.nlogo"
"experiment1"
"07/19/2017 05:59:18:260 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","1","1","1","2","2","2","3","3","3","4","4","4","5","5","5","6","6","6","7","7","7","8","8","8","9","9","9","10","10","10"
"numero-equipoA","3",,,"3",,,"3",,,"3",,,"3",,,"3",,,"3",,,"3",,,"3",,,"3",,
"numero-equipoB","2",,,"2",,,"2",,,"2",,,"2",,,"2",,,"2",,,"2",,,"2",,,"2",,
"[reporter]","atrapado","Asalvo","ticks","atrapado","Asalvo","ticks","atrapado","Asalvo","ticks","atrapado","Asalvo","ticks","atrapado","Asalvo","ticks","atrapado","Asalvo","ticks","atrapado","Asalvo","ticks","atrapado","Asalvo","ticks","atrapado","Asalvo","ticks","atrapado","Asalvo","ticks"
"[final]","2","0","7","2","0","7","2","0","7","2","0","8","2","0","11","1","1","14","2","0","8","2","0","8","1","1","15","2","0","7"
"[min]","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"[max]","2","0","7","2","0","7","2","0","7","2","0","8","2","0","11","1","1","14","2","0","8","2","0","8","1","1","15","2","0","7"
"[mean]","0.375","0","3.5","0.375","0","3.5","0.25","0","3.5","0.3333333333333333","0","4","0.25","0","5.5","0.3333333333333333","0.06666666666666667","7","0.3333333333333333","0","4","0.3333333333333333","0","4","0.5625","0.0625","7.5","0.375","0","3.5"
"[steps]","7","7","7","7","7","7","7","7","7","8","8","8","11","11","11","14","14","14","8","8","8","8","8","8","15","15","15","7","7","7"

"[all run data]","atrapado","Asalvo","ticks","atrapado","Asalvo","ticks","atrapado","Asalvo","ticks","atrapado","Asalvo","ticks","atrapado","Asalvo","ticks","atrapado","Asalvo","ticks","atrapado","Asalvo","ticks","atrapado","Asalvo","ticks","atrapado","Asalvo","ticks","atrapado","Asalvo","ticks"
,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
,"0","0","1","0","0","1","0","0","1","0","0","1","0","0","1","0","0","1","0","0","1","0","0","1","0","0","1","0","0","1"
,"0","0","2","0","0","2","0","0","2","0","0","2","0","0","2","0","0","2","0","0","2","0","0","2","0","0","2","0","0","2"
,"0","0","3","0","0","3","0","0","3","0","0","3","0","0","3","0","0","3","0","0","3","0","0","3","0","0","3","0","0","3"
,"0","0","4","0","0","4","0","0","4","0","0","4","0","0","4","0","0","4","0","0","4","0","0","4","0","0","4","0","0","4"
,"0","0","5","0","0","5","0","0","5","0","0","5","0","0","5","0","0","5","0","0","5","0","0","5","0","0","5","0","0","5"
,"1","0","6","1","0","6","0","0","6","0","0","6","0","0","6","0","0","6","0","0","6","0","0","6","0","0","6","1","0","6"
,"2","0","7","2","0","7","2","0","7","1","0","7","0","0","7","0","0","7","1","0","7","1","0","7","1","0","7","2","0","7"
,,,,,,,,,,"2","0","8","0","0","8","0","0","8","2","0","8","2","0","8","1","0","8",,,
,,,,,,,,,,,,,"0","0","9","0","0","9",,,,,,,"1","0","9",,,
,,,,,,,,,,,,,"1","0","10","1","0","10",,,,,,,"1","0","10",,,
,,,,,,,,,,,,,"2","0","11","1","0","11",,,,,,,"1","0","11",,,
,,,,,,,,,,,,,,,,"1","0","12",,,,,,,"1","0","12",,,
,,,,,,,,,,,,,,,,"1","0","13",,,,,,,"1","0","13",,,
,,,,,,,,,,,,,,,,"1","1","14",,,,,,,"1","0","14",,,
,,,,,,,,,,,,,,,,,,,,,,,,,"1","1","15",,,
