"BehaviorSpace results (NetLogo 6.0.1)"
"depredacion3.0.nlogo"
"experiment1"
"07/19/2017 05:59:16:962 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","numero-equipoA","numero-equipoB","[step]","atrapado","Asalvo","ticks"
"2","3","2","0","0","0","0"
"2","3","2","1","0","0","1"
"2","3","2","2","0","0","2"
"2","3","2","3","0","0","3"
"5","3","2","0","0","0","0"
"2","3","2","4","0","0","4"
"2","3","2","5","0","0","5"
"5","3","2","1","0","0","1"
"2","3","2","6","1","0","6"
"2","3","2","7","2","0","7"
"5","3","2","2","0","0","2"
"6","3","2","0","0","0","0"
"4","3","2","0","0","0","0"
"5","3","2","3","0","0","3"
"6","3","2","1","0","0","1"
"6","3","2","2","0","0","2"
"6","3","2","3","0","0","3"
"6","3","2","4","0","0","4"
"4","3","2","1","0","0","1"
"6","3","2","5","0","0","5"
"4","3","2","2","0","0","2"
"6","3","2","6","0","0","6"
"6","3","2","7","0","0","7"
"4","3","2","3","0","0","3"
"6","3","2","8","0","0","8"
"4","3","2","4","0","0","4"
"6","3","2","9","0","0","9"
"4","3","2","5","0","0","5"
"4","3","2","6","0","0","6"
"6","3","2","10","1","0","10"
"4","3","2","7","1","0","7"
"4","3","2","8","2","0","8"
"6","3","2","11","1","0","11"
"7","3","2","0","0","0","0"
"7","3","2","1","0","0","1"
"6","3","2","12","1","0","12"
"6","3","2","13","1","0","13"
"7","3","2","2","0","0","2"
"6","3","2","14","1","1","14"
"7","3","2","3","0","0","3"
"7","3","2","4","0","0","4"
"8","3","2","0","0","0","0"
"7","3","2","5","0","0","5"
"5","3","2","4","0","0","4"
"3","3","2","0","0","0","0"
"7","3","2","6","0","0","6"
"7","3","2","7","1","0","7"
"7","3","2","8","2","0","8"
"5","3","2","5","0","0","5"
"9","3","2","0","0","0","0"
"5","3","2","6","0","0","6"
"8","3","2","1","0","0","1"
"5","3","2","7","0","0","7"
"3","3","2","1","0","0","1"
"5","3","2","8","0","0","8"
"8","3","2","2","0","0","2"
"5","3","2","9","0","0","9"
"8","3","2","3","0","0","3"
"5","3","2","10","1","0","10"
"8","3","2","4","0","0","4"
"5","3","2","11","2","0","11"
"3","3","2","2","0","0","2"
"9","3","2","1","0","0","1"
"10","3","2","0","0","0","0"
"8","3","2","5","0","0","5"
"3","3","2","3","0","0","3"
"8","3","2","6","0","0","6"
"10","3","2","1","0","0","1"
"8","3","2","7","1","0","7"
"3","3","2","4","0","0","4"
"8","3","2","8","2","0","8"
"9","3","2","2","0","0","2"
"10","3","2","2","0","0","2"
"10","3","2","3","0","0","3"
"3","3","2","5","0","0","5"
"9","3","2","3","0","0","3"
"10","3","2","4","0","0","4"
"9","3","2","4","0","0","4"
"3","3","2","6","0","0","6"
"10","3","2","5","0","0","5"
"3","3","2","7","2","0","7"
"10","3","2","6","1","0","6"
"9","3","2","5","0","0","5"
"10","3","2","7","2","0","7"
"9","3","2","6","0","0","6"
"9","3","2","7","1","0","7"
"9","3","2","8","1","0","8"
"9","3","2","9","1","0","9"
"9","3","2","10","1","0","10"
"9","3","2","11","1","0","11"
"9","3","2","12","1","0","12"
"9","3","2","13","1","0","13"
"9","3","2","14","1","0","14"
"9","3","2","15","1","1","15"
"1","3","2","0","0","0","0"
"1","3","2","1","0","0","1"
"1","3","2","2","0","0","2"
"1","3","2","3","0","0","3"
"1","3","2","4","0","0","4"
"1","3","2","5","0","0","5"
"1","3","2","6","1","0","6"
"1","3","2","7","2","0","7"
